Date,License Plate No,Time,Entry,Exit
9/14/2020,BAA0396,23:12:32,1.0,0.0
9/14/2020,BAA0396,23:15:31,0.0,1.0
9/14/2020,BAA0396,23:15:55,1.0,0.0
9/14/2020,BAA0396,23:16:55,0.0,1.0
9/14/2020,BAA0396,23:18:39,1.0,0.0
9/14/2020,BAA0396,23:19:42,0.0,1.0
9/14/2020,BAA0396,23:20:13,1.0,0.0
9/14/2020,BAA0396,23:24:06,0.0,1.0
9/14/2020,BAA0396,23:30:39,1.0,0.0
9/14/2020,BAA0396,23:32:03,0.0,1.0
9/14/2020,BAA0396,23:37:09,1.0,0.0
9/14/2020,BAA0396,23:38:29,0.0,1.0
9/14/2020,BAA0396,23:43:30,1.0,0.0
9/30/2020,BAA0396,19:56:55,0.0,1.0
9/30/2020,BAA0396,19:57:50,1.0,0.0
9/30/2020,BAA0396,19:58:49,0.0,1.0
9/30/2020,BAA0396,20:00:37,1.0,0.0
9/30/2020,BAA0396,20:01:24,0.0,1.0
9/30/2020,BAA0396,20:02:49,1.0,0.0
9/30/2020,BAA0396,20:08:29,0.0,1.0
9/30/2020,BAA0396,20:09:15,1.0,0.0
9/30/2020,BAA0396,20:11:41,0.0,1.0
9/30/2020,BAA0396,20:18:20,1.0,0.0
9/30/2020,BAA0396,20:21:38,0.0,1.0
9/30/2020,BAA0396,20:30:16,1.0,0.0
9/30/2020,BAA0396,20:31:15,0.0,1.0
9/30/2020,BAA0396,20:32:20,1.0,0.0
9/30/2020,BAA0396,20:32:42,0.0,1.0
9/30/2020,BAA0396,20:39:51,1.0,0.0
9/30/2020,BAA0396,20:40:00,0.0,1.0
9/30/2020,BAA0396,20:41:29,1.0,0.0
9/30/2020,BAA0396,20:43:31,0.0,1.0
9/30/2020,BAA0396,20:54:51,1.0,0.0
10/1/2020,BAA0396,18:39:10,0.0,1.0
10/1/2020,BAA0396,18:40:04,1.0,0.0
10/1/2020,BAA0396,18:41:43,0.0,1.0
10/1/2020,BAA0396,18:43:18,1.0,0.0
10/1/2020,BAA0396,19:53:59,0.0,1.0
3/2/2021,BAA0396,13:17:48,1.0,0.0
3/2/2021,BAA0396,13:19:15,0.0,1.0
3/2/2021,BAA0396,13:21:55,1.0,0.0
3/2/2021,BAA0396,13:24:40,0.0,1.0
3/2/2021,BAA0396,13:26:21,1.0,0.0
3/2/2021,BAA0396,13:29:25,0.0,1.0
3/2/2021,BAA0396,13:32:42,1.0,0.0
3/2/2021,BAA0396,13:35:08,0.0,1.0
3/2/2021,BAA0396,13:36:19,1.0,0.0
3/22/2021,BAA0396,21:26:58,0.0,1.0
2021-03-22,BAA0396,21:38:49,1.0,0.0
2021-03-22,BAA0396,21:41:14,0.0,1.0
2021-03-22,BAA0396,21:42:43,1.0,0.0
2021-03-24,BAA0396,16:57:13,0.0,1.0
2021-03-24,BAA0396,16:57:48,1.0,0.0
2021-03-24,BAA0396,17:00:47,0.0,1.0
2021-03-24,BAA0396,17:16:49,1.0,0.0
2021-03-24,BAA0396,17:27:58,0.0,1.0
2021-03-24,BAA0396,17:29:09,1.0,0.0
2021-03-24,BAA0396,17:30:23,0.0,1.0
2021-03-24,BAA0396,17:39:04,1.0,0.0
2021-03-24,BAA0396,17:40:13,0.0,1.0
2021-03-24,BAA0396,17:41:11,1.0,0.0
2021-03-24,BAAC0C,17:43:46,1.0,0.0
2021-03-24,BAA90C,17:44:45,1.0,0.0
2021-03-24,BAAC0C,17:50:23,0.0,1.0
2021-03-24,BAAC0C,18:01:36,1.0,0.0
2021-03-24,BAAC0C,18:03:47,0.0,1.0
2021-03-24,BAAC0C,18:06:56,1.0,0.0
2021-03-24,BAA1955,18:07:31,1.0,0.0
2021-03-24,BAA0396,18:08:18,0.0,1.0
2021-03-24,BAAC0C,18:10:38,0.0,1.0
2021-03-24,BAAC0C,18:11:11,1.0,0.0
2021-03-24,BAAC0C,18:12:03,0.0,1.0
2021-03-24,BAAC0C,18:13:15,1.0,0.0
2021-03-24,BAAC0C,18:14:05,0.0,1.0
2021-03-24,BAAC0C,18:14:09,1.0,0.0
2021-03-24,BAA1995,18:15:27,1.0,0.0
2021-03-24,BAA1995,18:19:10,0.0,1.0
2021-03-24,BAA0396,18:25:13,1.0,0.0
2021-03-24,BAA1955,18:26:09,0.0,1.0
2021-03-24,BAA0396,19:01:14,0.0,1.0
2021-03-24,BAA1955,19:01:23,1.0,0.0
2021-03-24,BAAC0C,19:02:02,0.0,1.0
